lnlik,n_par,aic,aicc
sd_fit90,-170.168086037185,6,352.336172074371,352.098883938778
sxd_fit90,-170.160050240004,7,354.320100480008,354.044238411043
d_fit91,-171.620722979239,5,353.241445958478,353.041445958478
sd_fit91,-168.976754953027,6,349.953509906054,349.71622177046
sxd_fit91,-168.853712824473,7,351.707425648946,351.43156357998
d_fit92,-174.159219603093,5,358.318439206187,358.118439206187
sd_fit92,-172.736590002061,6,357.473180004122,357.235891868529
sxd_fit92,-172.736596944161,7,359.473193888322,359.197331819356
d_fit93,-184.066924014776,5,378.133848029552,377.933848029552
sd_fit93,-182.993778672929,6,377.987557345858,377.750269210265
sxd_fit93,-182.993781582464,7,379.987563164929,379.711701095963
d_fit94,-188.366249568437,5,386.732499136873,386.532499136873
sd_fit94,-186.374131563527,6,384.748263127054,384.510974991461
sxd_fit94,-185.86869600789,7,385.737392015781,385.461529946815
d_fit95,-176.90567088102,5,363.81134176204,363.61134176204
sd_fit95,-175.404780425999,6,362.809560851998,362.572272716404
sxd_fit95,-175.381039285355,7,364.76207857071,364.486216501745
d_fit96,-186.565967352858,5,383.131934705715,382.931934705715
sd_fit96,-185.254067404216,6,382.508134808432,382.270846672839
sxd_fit96,-185.005704674308,7,384.011409348616,383.73554727965
d_fit97,-182.071791031477,5,374.143582062953,373.943582062954
sd_fit97,-180.418130182386,6,372.836260364772,372.598972229179
sxd_fit97,-180.418130284615,7,374.836260569229,374.560398500264
d_fit98,-173.68234612282,5,357.364692245639,357.164692245639
sd_fit98,-171.814803133723,6,355.629606267445,355.392318131852
sxd_fit98,-171.81481026638,7,357.62962053276,357.353758463794
d_fit99,-180.623088823614,5,371.246177647228,371.046177647228
sd_fit99,-179.435966434394,6,370.871932868787,370.634644733194
sxd_fit99,-179.360436977088,7,372.720873954175,372.44501188521
